Name,Course Code,Category
Calculus I,MATH1073,MR
Linear Algebra I,MATH1053,MR
Principles of Accounting I,ACCT2003,MR
Calculus II,MATH1083,MR
Linear Algebra II,MATH1063,MR
C++ Programming Language,COMP3153,MR
Ordinary Differential Equations,MATH2043,MR
Introdction to Finance,FINM2063,MR
Probability Theory,STAT2063,MR
Mathematical Statistics,MATH2033,MR
Data Structure,COMP3283,MR
Advanced Financial Mathematics,FINM4073,MR
Applied Stochastic Process,MATH3173,MR
Financial Mathematics,FINM3143,MR
Introduction to Econometrics,FINM3123,MR
Investments,FINM3093,MR
Macroeconomics,ECON2113,MR
Microeconomics,ECON2103,MR
Risk Management in Finance,FINM3033,MR
Time Series for Finance and Macroeconomics,FINM3133,MR
